no_pkk,no_pkk_inaportnet,vessel_name,company_name,name_process_code,gt,loa,name_branch,departure_date
9ESK57000003,PKK.DN.IDKBU.2503.000571,NAKAEI,PT. TARUNA CIPTA KENCANA,Request PPKB,2795.0,94.95,KOTABARU,2025-03-26T13:00:00.000Z
MASQ27000003,,MASQUENADA,NAUTIKA TRISULA JAYA.PT,Request PPKB,585.0,40.45,BENOA,2025-07-20T09:00:00.000Z
AJAK57000004,,AJAK  653.  KRI*,TNI ANGKATAN LAUT,Request PPKB,540.0,50.0,KOTABARU,2025-03-23T04:00:00.000Z
A80525000022,,BG AME 805,"BARUNA PASIFIK RAYA, PT",Realization,2230.0,82.3,BANJARMASIN,2025-03-23T23:00:00.000Z
XNQ725000008,PKK.DN.IDBDJ.2503.002855,CELVIA STAR 11,"BARITO SAMUDRA SEJAHTERA, PT",Realization,4006.0,91.44,BANJARMASIN,2025-03-25T10:30:00.000Z
1WNO25000064,,FINACIA 101,MEGA BAHTERA KENCANA PT,Request PPKB,5338.0,111.25,BANJARMASIN,2025-03-24T09:52:00.000Z
HHKX57000001,PKK.DN.IDKBU.2503.000446,JOAQUINO ELIEZER,PT. KEMBANG JAYA ABADI PERKASA,Request PPKB,5997.0,125.55,KOTABARU,2025-03-21T02:14:00.000Z
M23957000004,PKK.DN.IDKBU.2503.000426,MANALAGI PRITA,PT. RIANDY FIESTA SAMUDERA,Request PPKB,40489.0,225.0,KOTABARU,2025-03-21T10:14:00.000Z
GS1657000006,PKK.DN.IDSTU.2503.000444,GSL 16,"NABILA RIZKI SAMUDERA, PT",Request PPKB,3153.0,91.5,KOTABARU,2025-03-20T15:55:00.000Z
SO6825000021,,SOEKAWATI 168,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3065.0,91.5,BANJARMASIN,2025-03-23T13:26:00.000Z
TS3125000024,PKK.DN.IDBDJ.2503.002723,TSP 31,"NABILA RIZKI SAMUDERA, PT",Realization,3064.0,91.5,BANJARMASIN,2025-03-23T15:55:00.000Z
35VD25000021,PKK.DN.IDBDJ.2503.002719,CAKRAWALA XVII 2023,SARANA MARITIM SEJAHTERA PT,Realization,4338.0,100.58,BANJARMASIN,2025-03-22T22:00:00.000Z
ALNT25000033,,ALNATH,"BARITO SAMUDRA SEJAHTERA, PT",Realization,4162.0,97.6,BANJARMASIN,2025-03-22T11:48:00.000Z
T3H725000004,,KARENINA 2701,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,2122.0,82.3,BANJARMASIN,2025-03-22T08:35:00.000Z
G2SA25000014,PKK.DN.IDBDJ.2503.002618,HM 307,"RIANDY FIESTA SAMUDERA, PT",Realization,3146.0,91.5,BANJARMASIN,2025-03-22T05:00:00.000Z
SLU013000009,PKK.DN.IDSUB.2503.000838,SARANA LINTAS UTAMA,"BANDAR BAHARI PERMAI, PT",Realization,3239.0,99.52,TANJUNG PERAK,2025-04-30T02:00:00.000Z
WQS823000002,PKK.DN.IDBJU.2503.000100,DANIA,"RIZKY BAHARI SAMUDRA,PT",Request PPKB,1857.0,79.97,TANJUNG WANGI,2025-03-22T10:00:00.000Z
533F13000001,PKK.DN.IDGRE.2503.000575,UNITAMA - 16,"PERUSAHAAN PELAYARAN NASIONAL BAHTERA SETIA, PT",Realization,1269.0,74.27,TANJUNG PERAK,2025-04-01T16:55:00.000Z
M3K725000003,,MEGANTA 3007,PT Immanu Sukses Bersama,Realization,3418.0,91.44,BANJARMASIN,2025-03-20T17:00:00.000Z
AE7E25000002,,ARK EMERALD,"CAKRAWALA LAUTAN INDONESIA, PT",Realization,3071.0,91.5,BANJARMASIN,2025-03-21T03:00:00.000Z
S35725000030,,SOEKAWATI 357,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3093.0,91.5,BANJARMASIN,2025-03-22T06:58:00.000Z
SK5825000004,,SOEKAWATI 358 TK,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3093.0,91.5,BANJARMASIN,2025-03-22T06:57:00.000Z
L37409000001,,LAMBUNG MANGKURAT-374,LANAL SEMARANG,Realization,1200.0,75.0,TANJUNG EMAS,2025-03-23T09:00:00.000Z
BEP225000009,PKK.DN.IDBDJ.2503.002427,BERLIAN PACIFIC  II,"BARITO SAMUDRA SEJAHTERA, PT",Realization,4380.0,100.7,BANJARMASIN,2025-03-20T10:29:00.000Z
SO3925000031,,SOEKAWATI 329,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3060.0,91.5,BANJARMASIN,2025-03-20T15:57:00.000Z
CJVT25000004,PKK.LN.IDBDJ.2503.002274,BG AUSONE,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,4319.0,101.0,BANJARMASIN,2025-03-22T15:00:00.000Z
BGAS25000003,PKK.LN.IDBDJ.2503.002237,BG ANGELUS,"ANUGERAH MAHADAYA NUSANTARA, PT",Request PPKB,4319.0,97.0,BANJARMASIN,2025-03-21T15:00:00.000Z
GI0013000060,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,56.02,TANJUNG PERAK,2025-02-04T12:00:00.000Z
GIK013000001,,"GILI IYANG  ,KMP","ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,49.0,TANJUNG PERAK,2025-01-17T12:00:00.000Z
GI0013000055,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,56.02,TANJUNG PERAK,2024-12-20T15:00:00.000Z
GI0013000054,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,56.02,TANJUNG PERAK,2024-12-13T12:00:00.000Z
GI0013000053,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,56.02,TANJUNG PERAK,2024-12-06T12:00:00.000Z
GI0013000056,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,56.02,TANJUNG PERAK,2024-12-27T12:00:00.000Z
GI0013000051,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,56.02,TANJUNG PERAK,2024-11-22T12:00:00.000Z
GI0013000052,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,56.02,TANJUNG PERAK,2024-11-29T12:00:00.000Z
GI0013000050,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,56.02,TANJUNG PERAK,2024-11-15T12:00:00.000Z
S24225000024,,SOEKAWATI 207,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3110.0,91.5,BANJARMASIN,2025-03-19T15:19:00.000Z
GI0013000048,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Request PPKB,1029.0,56.02,TANJUNG PERAK,2024-10-25T12:00:00.000Z
POI123000014,PKK.DN.IDBJU.2503.000078,PETRO OCEAN II,"PELAYARAN TAJRI SAMUDERA, PT",Request PPKB,638.0,53.62,TANJUNG WANGI,2025-04-10T05:00:00.000Z
LMN825000027,,LMN 308,PT Immanu Sukses Bersama,Realization,3107.0,87.78,BANJARMASIN,2025-03-18T17:00:00.000Z
R3A383000009,PKK.DN.IDSMQ.2503.000259,LUMINOR 3,MENTAYA AGUNG PERKASA. PT,Request PPKB,2406.0,80.7,SAMPIT,2025-03-26T13:00:00.000Z
ID1025000039,PKK.DN.IDBDJ.2503.002201,INTAN DAYA 11,"PERUSAHAAN PELAYARAN NUSANTARA PANURJWAN, PT",Realization,2996.0,89.8,BANJARMASIN,2025-03-19T23:00:00.000Z
YKJ157000003,PKK.DN.IDSTU.2503.000296,TLS 99,"NABILA RIZKI SAMUDERA, PT",Request PPKB,3379.0,91.44,KOTABARU,2025-03-15T15:55:00.000Z
SO2025000031,PKK.DN.IDBDJ.2503.002160,SOEKAWATI 20,"SAUFA KHALID MARITIM SAMUDERA, PT",Request PPKB,3065.0,91.5,BANJARMASIN,2025-03-18T11:21:00.000Z
NA1757000004,PKK.DN.IDKBU.2503.000067,SATRIA 3001,PT. TIDAR SAMUDERA RAYA,Request PPKB,3031.0,91.44,KOTABARU,2025-03-12T15:00:00.000Z
SMN213000014,PKK.DN.IDGRE.2503.000456,SUMBER NABATI 2,ARMADA ANAK LAUT,Request PPKB,1790.0,76.2,TANJUNG PERAK,2025-03-28T01:00:00.000Z
AJAK57000003,,AJAK  653.  KRI*,TNI ANGKATAN LAUT,Request PPKB,540.0,50.0,KOTABARU,2025-03-14T14:00:00.000Z
S18557000001,PKK.DN.IDKBU.2503.000289,SEROJA III,PT. MARITEL,Request PPKB,2280.0,87.26,KOTABARU,2025-03-15T12:00:00.000Z
NXRS57000002,PKK.DN.IDKBU.2502.000654,ROYAL REY 300,PT. PERUSAHAAN PELAYARAN NASIONAL SINAR PASIFIC,Request PPKB,1975.0,87.0,KOTABARU,2025-02-25T15:40:00.000Z
N0QZ25000032,PKK.DN.IDBDJ.2503.001786,TUHUP 001,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,1805.0,67.3,BANJARMASIN,2025-03-17T15:00:00.000Z
RLTF25000002,PKK.DN.IDBDJ.2503.001757,MBS 62,"MITRA BAHARI SENTOSA, PT",Realization,1597.0,70.09,BANJARMASIN,2025-03-28T10:00:00.000Z
YB8H25000015,PKK.DN.IDBDJ.2503.001718,MBS 392,"CAKRAWALA LAUTAN INDONESIA, PT",Realization,3270.0,91.44,BANJARMASIN,2025-03-15T02:00:00.000Z
UO2C57000002,PKK.DN.IDSTU.2502.000445,RMN 328,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3142.0,87.78,KOTABARU,2025-02-19T15:55:00.000Z
D44J25000056,PKK.DN.IDBDJ.2503.001661,PPS 186,"KARTIKA SAMUDRA ADIJAYA, PT",Realization,3142.0,87.78,BANJARMASIN,2025-03-15T00:00:00.000Z
Q3JY25000001,,SARASWANTI 3,BUANA MITRA SAMUDERA PT,Realization,3649.0,91.44,BANJARMASIN,2025-03-30T22:00:00.000Z
MM1313000005,PKK.DN.IDGRE.2503.000371,PANCA NABATI,ARMADA ANAK LAUT,Request PPKB,822.0,54.86,TANJUNG PERAK,2025-03-25T01:00:00.000Z
PS1S09000020,,"PETROGAS SUPPLY 1  ,SV","PUALAM EMAS SEJAHTERA, PT",Request PPKB,539.0,50.0,TANJUNG EMAS,2025-02-28T16:59:08.000Z
K80057000001,PKK.DN.IDKBU.2503.000165,KHATULISTIWA 8,PT. PRIMA SAMUDRA SAKTI,Request PPKB,1245.0,68.4,KOTABARU,2025-03-10T02:00:00.000Z
M33625000001,,MARINE POWER 3063,"ANTARMODA MARITIM NUSANTARA, PT",Realization,3349.0,91.44,BANJARMASIN,2025-03-14T05:01:00.000Z
BC2227000521,,BOUNTY CRUISES,"GEDE KADEK BROTHERS, PT",Realization,622.0,44.0,BENOA,2025-03-13T10:00:00.000Z
SS2357000002,PKK.DN.IDKBU.2503.000101,SS 2303,PT. LIMA SEMBILAN SEMBILAN SEMBILAN,Request PPKB,1645.0,70.09,KOTABARU,2025-03-07T03:00:00.000Z
TS9113000005,PKK.DN.IDGRE.2503.000323,TETRA SENTOSA,"PELAYARAN TRI TUNGGAL SAMUDERA BAHAGIA, PT",Request PPKB,1278.0,69.9,TANJUNG PERAK,2025-03-30T05:00:00.000Z
IIYA57000002,PKK.DN.IDKBU.2502.000435,SLM SELENE 1,PT. TARUNA CIPTA KENCANA,Request PPKB,2115.0,90.4,KOTABARU,2025-02-24T02:00:00.000Z
SKHM25000011,,SAKHAMAS 3002,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3093.0,91.5,BANJARMASIN,2025-03-11T03:00:00.000Z
S30625000021,,SAKHAMAS 3001,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3065.0,91.5,BANJARMASIN,2025-03-10T15:35:00.000Z
D02213000022,PKK.DN.IDSUB.2503.000403,DAN 03,"JAYADI SAMUDERA LINES, PT",Realization,531.0,53.52,TANJUNG PERAK,2025-03-14T10:00:00.000Z
V36A25000001,PKK.DN.IDBDJ.2503.001241,SARANA MITRA 03,"ANTARMODA MARITIM NUSANTARA, PT",Request PPKB,2099.0,76.2,BANJARMASIN,2025-03-17T06:56:00.000Z
D9KO57000015,PKK.DN.IDKBU.2503.000211,BUNG TOMO,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Request PPKB,1257.0,63.0,KOTABARU,2025-03-11T01:00:00.000Z
MXY057000001,PKK.LN.IDKBU.2503.000088,MV. XI YUAN,PT. IDT TRANS AGENCY,Request PPKB,40060.0,225.0,KOTABARU,2025-03-10T15:30:00.000Z
2AN025000009,PKK.DN.IDBDJ.2503.001175,P B 2507,PELAYARAN SANLE MAKMUR,Realization,2208.0,76.25,BANJARMASIN,2025-03-31T15:00:00.000Z
M59357000001,PKK.LN.IDKBU.2410.000607,MV. CONON,PT. IDT TRANS AGENCY,Request PPKB,32305.0,189.99,KOTABARU,2024-10-24T02:33:00.000Z
OEAN57000002,PKK.DN.IDKBU.2502.000370,OCEANBAY 23238,PT. PRIMA DHARMA TRANSPORT,Request PPKB,1824.0,70.09,KOTABARU,2025-02-19T02:00:00.000Z
UO2C57000002,PKK.DN.IDSTU.2502.000445,RMN 328,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Realization,3142.0,87.78,KOTABARU,2025-02-19T15:55:00.000Z
PS6613000019,PKK.DN.IDSUB.2503.000359,PASIFIC STAR,"PERUSH PELAYARAN NASIONAL NAMSURYA CITRASARI LINES, PT",Realization,2996.0,99.8,TANJUNG PERAK,2025-03-22T17:00:00.000Z
TLT225000001,PKK.LN.IDBDJ.2503.001135,SAMUDRA BINTANG 3,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,4592.0,96.62,BANJARMASIN,2025-03-11T15:00:00.000Z
P00513000057,PKK.DN.IDSUB.2503.000356,PETRO OCEAN XXV,"PELAYARAN HUB MARITIM INDONESIA, PT",Request PPKB,732.0,64.25,TANJUNG PERAK,2025-03-15T11:00:00.000Z
A64125000008,PKK.DN.IDBDJ.2503.000753,SOEKAWATI 2568,PT. MANNA BERKAT SEJATI,Realization,1995.0,76.2,BANJARMASIN,2025-03-12T15:00:00.000Z
S27525000019,,SOEKAWATI 2725,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,2137.0,82.3,BANJARMASIN,2025-03-09T15:24:00.000Z
YHN625000021,,YOHANNA 6,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,2125.0,82.3,BANJARMASIN,2025-03-09T15:36:00.000Z
S02325000020,,SOEKAWATI 2723,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,2137.0,82.3,BANJARMASIN,2025-03-09T15:31:00.000Z
S16925000027,,SOEKAWATI 169,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3093.0,91.5,BANJARMASIN,2025-03-09T13:19:00.000Z
0GZH25000023,PKK.DN.IDBDJ.2503.001026,TUHUP 010,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,1805.0,67.3,BANJARMASIN,2025-03-11T15:00:00.000Z
SKW725000022,,SOEKAWATI 327,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3060.0,87.78,BANJARMASIN,2025-03-08T09:00:00.000Z
4Y9X25000033,,TONASA LINES XX,"BARUNA PASIFIK RAYA, PT",Realization,3107.0,91.44,BANJARMASIN,2025-03-08T23:00:00.000Z
PE3025000007,PKK.DN.IDBDJ.2503.000955,PERMAISURI 3030,"INDO DHARMA TRANSPORT, PT",Request PPKB,3107.0,91.44,BANJARMASIN,2025-03-10T05:05:00.000Z
GJTL23000274,PKK.DN.IDBJU.2503.000035,MUTIARA PERSADA III,"ATOSIM LAMPUNG PELAYARAN, PT",Request PPKB,15380.0,151.13,TANJUNG WANGI,2025-03-08T15:00:00.000Z
IMAS23000037,PKK.DN.IDBJU.2503.000034,INSAM - 01,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Request PPKB,1647.0,72.9,TANJUNG WANGI,2025-03-20T01:00:00.000Z
444J57000001,PKK.DN.IDKBU.2503.000071,JAZEEL,PT. MASADA JAYA LINES,Request PPKB,2994.0,89.8,KOTABARU,2025-03-05T15:45:00.000Z
J9X627000001,PKK.LN.IDBOA.2503.000564,MV. FLOATEL TRIUMPH,TRANS CAKRAWALA PERKASA. PT,Request PPKB,27211.0,125.0,BENOA,2025-03-08T12:00:00.000Z
MI0013000030,PKK.DN.IDGRE.2503.000177,MARGARETHA I,"PERTAMINA TRANS KONTINENTAL, PT",Realization,1076.0,67.95,TANJUNG PERAK,2025-03-08T20:00:00.000Z
35VD25000019,PKK.DN.IDBDJ.2503.000768,CAKRAWALA XVII 2023,SARANA MARITIM SEJAHTERA PT,Realization,4338.0,100.58,BANJARMASIN,2025-03-06T22:00:00.000Z
BAEQ25000577,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-12T08:00:00.000Z
BAEQ25000576,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-12T08:00:00.000Z
BAEQ25000575,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-12T08:00:00.000Z
BAEQ25000574,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-11T08:00:00.000Z
BAEQ25000573,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-11T08:00:00.000Z
BAEQ25000572,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-11T08:00:00.000Z
05R325000005,,SOEKAWATI 2711,BUANA MITRA SAMUDERA PT,Realization,2136.0,82.3,BANJARMASIN,2025-03-11T00:00:00.000Z
BAEQ25000571,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-10T08:00:00.000Z
BAEQ25000570,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-10T08:00:00.000Z
TYDB25000019,PKK.DN.IDBDJ.2503.000638,TUHUP 025,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,1986.0,76.25,BANJARMASIN,2025-03-08T15:00:00.000Z
A31U25000027,,JOCELYN 08,"ANTARMODA MARITIM NUSANTARA, PT",Realization,2099.0,76.2,BANJARMASIN,2025-03-06T10:26:00.000Z
BAEQ25000569,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-10T08:00:00.000Z
B58925000008,,BAHARI 2589,"ANTARMODA MARITIM NUSANTARA, PT",Realization,1991.0,76.2,BANJARMASIN,2025-03-06T10:28:00.000Z
222H13000028,PKK.DN.IDSUB.2503.000188,HAFIDYAH,"PELAYARAN HUB MARITIM INDONESIA, PT",Realization,986.0,75.54,TANJUNG PERAK,2025-03-10T15:00:00.000Z
BAEQ25000568,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-09T08:00:00.000Z
BAEQ25000567,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-09T08:00:00.000Z
RR1157000009,PKK.DN.IDKBU.2502.000488,ROYAL REY,"BERKAH SALSABILL SAIJAAN, PT	",Request PPKB,3385.0,87.17,KOTABARU,2025-02-22T02:30:00.000Z
BAEQ25000566,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-09T08:00:00.000Z
BAEQ25000565,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-08T08:00:00.000Z
B71057000001,PKK.DN.IDKBU.2502.000522,BAHARI 2710,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,2447.0,82.3,KOTABARU,2025-02-22T15:00:00.000Z
BAEQ25000564,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-08T08:00:00.000Z
5D0F25000007,,MYLENA 28,"BARUNA PASIFIK RAYA, PT",Realization,3433.0,91.44,BANJARMASIN,2025-03-04T23:00:00.000Z
BAEQ25000563,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-08T08:00:00.000Z
LL8157000001,,KRI LUMBA LUMBA - 881,TNI ANGKATAN LAUT,Realization,520.0,61.2,KOTABARU,2025-03-06T04:00:00.000Z
BAEQ25000562,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-07T08:00:00.000Z
BAEQ25000561,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-07T08:00:00.000Z
B04213000011,PKK.DN.IDSUB.2503.000116,BAGUS SELATAN,"LANDASINDO SAHU BARUNA JAYA, PT",Realization,711.0,61.12,TANJUNG PERAK,2025-03-20T08:00:00.000Z
FFX957000001,PKK.DN.IDSTU.2408.000203,DEWI IRIANA 1,"DIAN CIPTAMAS AGUNG, PT",Request PPKB,3987.0,100.05,KOTABARU,2024-08-09T01:00:00.000Z
MIBE13000009,PKK.DN.IDGRE.2503.000091,MITRA BERJAYA 2,ARMADA ANAK LAUT,Request PPKB,992.0,54.86,TANJUNG PERAK,2025-03-19T01:00:00.000Z
ISKA25000012,,MT. SRIYULIANI,"MASADA JAYA LINES, PT",Realization,5182.0,105.83,BANJARMASIN,2025-03-03T08:00:00.000Z
TNL225000012,PKK.DN.IDBDJ.2503.000299,BINA MARINE 16 A,"TERA LOGISTIC INDONESIA, PT",Realization,1835.0,73.15,BANJARMASIN,2025-03-06T15:00:00.000Z
BAEQ25000560,,BARITO EQUATOR,"PELAYARAN KARANA LINE, PT",Realization,2682.0,83.76,BANJARMASIN,2025-03-07T00:00:00.000Z
RYL857000022,PKK.DN.IDKBU.2502.000311,ROYAL 8,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,1311.0,54.86,KOTABARU,2025-02-15T14:00:00.000Z
FBI025000079,PKK.DN.IDBDJ.2503.000267,FAJAR BAHARI II,"FAJAR BAHARI NUSANTARA, PT",Realization,4751.0,88.0,BANJARMASIN,2025-03-05T15:00:00.000Z
MVOY57000001,PKK.DN.IDSTU.2403.000550,RMN 363,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,3107.0,87.78,KOTABARU,2024-03-26T15:55:00.000Z
1NYU57000001,PKK.LN.IDKBU.2502.000633,MV. ORIENT POWER,PT. SERASI SHIPPING INDONESIA,Request PPKB,23456.0,180.0,KOTABARU,2025-02-28T02:00:00.000Z
OU3E57000001,PKK.LN.IDKBU.2502.000617,MV. STAR VANCOUVER,PT. IDT TRANS AGENCY,Request PPKB,36551.0,199.9,KOTABARU,2025-02-28T15:30:00.000Z
RL7725000018,,REZEKI LAUTAN 717,"ANTARMODA MARITIM NUSANTARA, PT",Realization,3420.0,91.44,BANJARMASIN,2025-03-03T11:01:00.000Z
SW3225000019,,SOEKAWATI 326,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3060.0,91.5,BANJARMASIN,2025-03-02T04:00:00.000Z
VS3125000025,,VIRGO SEJATI 331,"VIRGO SAMUDERA JAYA, PT",Realization,3938.0,100.58,BANJARMASIN,2025-03-02T04:00:00.000Z
TBM425000001,,TABRISMA IV,"CINDY SAMUDRAJAYA LOGISTIC, PT",Realization,3601.0,91.5,BANJARMASIN,2025-03-01T17:00:00.000Z
KTMM27000004,,"KOTOSHIRO MARU NO,58",PT PELAYARAN TAJRI SAMUDERA,Request PPKB,741.0,50.52,BENOA,2025-03-07T06:00:00.000Z
S35625000020,,SOEKAWATI 356,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3093.0,91.5,BANJARMASIN,2025-03-02T00:13:00.000Z
GT1357000002,PKK.DN.IDSTU.2411.000478,GOLD TRANS 313,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,3142.0,87.78,KOTABARU,2024-11-21T15:00:00.000Z
T3H725000003,,KARENINA 2701,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,2122.0,82.3,BANJARMASIN,2025-02-28T14:00:00.000Z
4CQM25000033,,ATK 314,"KARTIKA SAMUDRA ADIJAYA, PT",Realization,3142.0,87.78,BANJARMASIN,2025-03-02T04:00:00.000Z
NKKO57000001,PKK.DN.IDKBU.2502.000373,NIKKO,PT. TARUNA CIPTA KENCANA,Request PPKB,1952.0,91.99,KOTABARU,2025-02-20T07:00:00.000Z
PIOZ25000006,,YOHANNA 2,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,2122.0,82.3,BANJARMASIN,2025-02-28T05:00:00.000Z
SRQC25000009,,YOHANNA 8,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,2122.0,82.3,BANJARMASIN,2025-02-28T05:00:00.000Z
S32325000022,,SOEKAWATI 323,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3121.0,87.78,BANJARMASIN,2025-02-28T04:00:00.000Z
D9KO57000014,PKK.DN.IDKBU.2502.000655,BUNG TOMO,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Request PPKB,1257.0,63.0,KOTABARU,2025-02-28T03:00:00.000Z
A02G25000018,PKK.DN.IDBDJ.2502.003084,ASK  I,"BARUNA PASIFIK RAYA, PT",Realization,3107.0,91.44,BANJARMASIN,2025-02-27T15:30:00.000Z
A40B57000001,PKK.DN.IDKBU.2312.000555,LIANA XXXX,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,3442.0,91.44,KOTABARU,2023-12-21T04:00:00.000Z
GI0013000064,,GILI IYANG,"ASDP INDONESIA FERRY (PERSERO), PT",Realization,1029.0,56.02,TANJUNG PERAK,2025-02-28T12:00:00.000Z
OEAN57000002,PKK.DN.IDKBU.2502.000370,OCEANBAY 23238,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,1824.0,70.09,KOTABARU,2025-02-19T02:00:00.000Z
VBL625000017,,ESTELLA,"BARUNA PASIFIK RAYA, PT",Realization,4358.0,100.58,BANJARMASIN,2025-02-26T23:00:00.000Z
FAA425000040,,TONASA LINES XXIII,"BARUNA PASIFIK RAYA, PT",Realization,3117.0,91.44,BANJARMASIN,2025-02-26T23:00:00.000Z
ABBR25000007,,KALYA 105,"BARUNA PASIFIK RAYA, PT",Realization,3378.0,91.44,BANJARMASIN,2025-02-26T23:00:00.000Z
7I9B25000035,,WILLIAM 330 3,"BARUNA PASIFIK RAYA, PT",Realization,4239.0,100.58,BANJARMASIN,2025-02-26T23:00:00.000Z
S24225000023,,SOEKAWATI 207,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,3110.0,91.5,BANJARMASIN,2025-02-25T11:00:00.000Z
COS225000029,,INDO DARMA 1235,"INDO DHARMA TRANSPORT, PT",Realization,3882.0,100.58,BANJARMASIN,2025-02-26T15:00:00.000Z
201225000032,,TONASA LINES XXI,"BARUNA PASIFIK RAYA, PT",Realization,3107.0,91.44,BANJARMASIN,2025-02-25T23:00:00.000Z
JX2257000020,PKK.DN.IDKBU.2502.000190,JHONI XLVII,PT. AZAZ SHIPS SERVICES,Request PPKB,3110.0,94.5,KOTABARU,2025-02-10T01:00:00.000Z
SMP257000003,,SM PRIMA 112,PT. AZAZ SHIPS SERVICES,Request PPKB,2083.0,73.15,KOTABARU,2025-02-08T04:08:00.000Z
